day,scored_mae,original_mae,corrected_mae,delta,hours,accepted
2026-06-25,3002.6987,3002.6986621875003,1560.771561979167,-1441.9271002083333,24,True
2026-06-26,2247.4863,2247.486329583334,585.7869474999985,-1661.699382083335,24,True
2026-06-27,1166.4105,1166.4104710416666,918.0387095833324,-248.37176145833416,24,True
2026-06-28,2507.0376,2507.0375634375,676.4305261458327,-1830.6070372916672,24,True
2026-06-29,2206.5105,2206.510479166667,1207.312294166668,-999.1981849999992,24,True
2026-06-30,1335.1238,1335.123840833333,2577.492835833333,1242.3689950000005,24,True
2026-07-01,2922.8423,2922.8423304166677,1342.3789583333337,-1580.463372083334,24,True
2026-07-02,3327.5199,3327.519878645833,1732.0986028125008,-1595.4212758333324,24,True
2026-07-03,5288.3477,5288.3476974999985,2158.6310308333336,-3129.716666666665,24,True
2026-07-04,3434.6681,3434.6680667708347,1039.4541890625003,-2395.213877708334,24,True
2026-07-05,4897.8049,4897.804872916667,1869.9238977083337,-3027.8809752083334,24,True
2026-07-06,,2561.029736805556,694.0439409722223,-1866.985795833334,18,True
